corruption,component,layer,position,effect
random_vocab_any,mlp_out,2,C_def,0.000000
random_vocab_any,mlp_out,2,A_doc,0.000000
random_vocab_any,mlp_out,2,B_doc,0.000000
random_vocab_any,mlp_out,2,END,0.000000
random_vocab_any,mlp_out,3,A_def,0.000000
random_vocab_any,mlp_out,3,B_def,0.000000
random_vocab_any,mlp_out,3,comma_B,0.000000
random_vocab_any,mlp_out,3,C_def,0.000000
random_vocab_any,mlp_out,3,A_doc,0.000000
random_vocab_any,mlp_out,3,B_doc,0.000000
random_vocab_any,mlp_out,3,END,0.000000
