group,scheme,position,layer,head,path_signal,published_class
previous-token probe (receivers layer >= 3),abc,S1+1,2,6,-0.000388,
previous-token probe (receivers layer >= 3),abc,S1+1,2,7,-0.003668,
previous-token probe (receivers layer >= 3),abc,S1+1,2,8,0.001097,
previous-token probe (receivers layer >= 3),abc,S1+1,2,9,0.101335,
previous-token probe (receivers layer >= 3),abc,S1+1,2,10,-0.002300,
previous-token probe (receivers layer >= 3),abc,S1+1,2,11,-0.001849,
previous-token probe (receivers layer >= 5),abc,S1+1,0,0,0.000460,
previous-token probe (receivers layer >= 5),abc,S1+1,0,1,-0.000006,duplicate token
previous-token probe (receivers layer >= 5),abc,S1+1,0,2,0.000531,
previous-token probe (receivers layer >= 5),abc,S1+1,0,3,0.000031,
previous-token probe (receivers layer >= 5),abc,S1+1,0,4,0.001608,
previous-token probe (receivers layer >= 5),abc,S1+1,0,5,0.000013,
previous-token probe (receivers layer >= 5),abc,S1+1,0,6,0.004153,
previous-token probe (receivers layer >= 5),abc,S1+1,0,7,0.016914,
previous-token probe (receivers layer >= 5),abc,S1+1,0,8,0.000304,
previous-token probe (receivers layer >= 5),abc,S1+1,0,9,0.000630,
previous-token probe (receivers layer >= 5),abc,S1+1,0,10,0.000802,duplicate token
previous-token probe (receivers layer >= 5),abc,S1+1,0,11,0.000203,
previous-token probe (receivers layer >= 5),abc,S1+1,1,0,0.059243,
previous-token probe (receivers layer >= 5),abc,S1+1,1,1,0.004512,
previous-token probe (receivers layer >= 5),abc,S1+1,1,2,0.000636,
previous-token probe (receivers layer >= 5),abc,S1+1,1,3,0.000299,
previous-token probe (receivers layer >= 5),abc,S1+1,1,4,0.003768,
previous-token probe (receivers layer >= 5),abc,S1+1,1,5,0.001728,
previous-token probe (receivers layer >= 5),abc,S1+1,1,6,0.000645,
previous-token probe (receivers layer >= 5),abc,S1+1,1,7,0.003060,
previous-token probe (receivers layer >= 5),abc,S1+1,1,8,-0.000075,
previous-token probe (receivers layer >= 5),abc,S1+1,1,9,0.000017,
previous-token probe (receivers layer >= 5),abc,S1+1,1,10,-0.001342,
previous-token probe (receivers layer >= 5),abc,S1+1,1,11,-0.006090,
previous-token probe (receivers layer >= 5),abc,S1+1,2,0,0.005878,
previous-token probe (receivers layer >= 5),abc,S1+1,2,1,0.002604,
previous-token probe (receivers layer >= 5),abc,S1+1,2,2,0.194523,previous token
previous-token probe (receivers layer >= 5),abc,S1+1,2,3,0.008262,
previous-token probe (receivers layer >= 5),abc,S1+1,2,4,0.016481,
previous-token probe (receivers layer >= 5),abc,S1+1,2,5,0.001474,
previous-token probe (receivers layer >= 5),abc,S1+1,2,6,-0.000344,
previous-token probe (receivers layer >= 5),abc,S1+1,2,7,-0.003698,
previous-token probe (receivers layer >= 5),abc,S1+1,2,8,0.001109,
previous-token probe (receivers layer >= 5),abc,S1+1,2,9,0.100976,
previous-token probe (receivers layer >= 5),abc,S1+1,2,10,-0.002407,
previous-token probe (receivers layer >= 5),abc,S1+1,2,11,-0.001811,
previous-token probe (receivers layer >= 5),abc,S1+1,3,0,-0.000015,duplicate token
previous-token probe (receivers layer >= 5),abc,S1+1,3,1,0.000411,
previous-token probe (receivers layer >= 5),abc,S1+1,3,2,0.006537,
previous-token probe (receivers layer >= 5),abc,S1+1,3,3,0.059531,
previous-token probe (receivers layer >= 5),abc,S1+1,3,4,-0.002482,
previous-token probe (receivers layer >= 5),abc,S1+1,3,5,0.006272,
previous-token probe (receivers layer >= 5),abc,S1+1,3,6,0.075295,
previous-token probe (receivers layer >= 5),abc,S1+1,3,7,0.120941,
previous-token probe (receivers layer >= 5),abc,S1+1,3,8,0.001808,
previous-token probe (receivers layer >= 5),abc,S1+1,3,9,0.000663,
previous-token probe (receivers layer >= 5),abc,S1+1,3,10,-0.048534,
previous-token probe (receivers layer >= 5),abc,S1+1,3,11,-0.000041,
previous-token probe (receivers layer >= 5),abc,S1+1,4,0,0.003847,
previous-token probe (receivers layer >= 5),abc,S1+1,4,1,0.001444,
previous-token probe (receivers layer >= 5),abc,S1+1,4,2,0.000217,
previous-token probe (receivers layer >= 5),abc,S1+1,4,3,0.118872,
previous-token probe (receivers layer >= 5),abc,S1+1,4,4,-0.023709,
previous-token probe (receivers layer >= 5),abc,S1+1,4,5,0.001202,
previous-token probe (receivers layer >= 5),abc,S1+1,4,6,0.012947,
previous-token probe (receivers layer >= 5),abc,S1+1,4,7,-0.184530,
previous-token probe (receivers layer >= 5),abc,S1+1,4,8,0.000432,
previous-token probe (receivers layer >= 5),abc,S1+1,4,9,0.002005,
previous-token probe (receivers layer >= 5),abc,S1+1,4,10,-0.000417,
previous-token probe (receivers layer >= 5),abc,S1+1,4,11,0.360601,previous token
previous-token probe (receivers layer >= 6),abc,S1+1,0,0,0.000333,
previous-token probe (receivers layer >= 6),abc,S1+1,0,1,-0.000008,duplicate token
previous-token probe (receivers layer >= 6),abc,S1+1,0,2,0.000489,
previous-token probe (receivers layer >= 6),abc,S1+1,0,3,0.000019,
previous-token probe (receivers layer >= 6),abc,S1+1,0,4,0.001438,
previous-token probe (receivers layer >= 6),abc,S1+1,0,5,0.000015,
previous-token probe (receivers layer >= 6),abc,S1+1,0,6,0.003443,
previous-token probe (receivers layer >= 6),abc,S1+1,0,7,0.015523,
previous-token probe (receivers layer >= 6),abc,S1+1,0,8,0.000270,
previous-token probe (receivers layer >= 6),abc,S1+1,0,9,0.000556,
previous-token probe (receivers layer >= 6),abc,S1+1,0,10,0.000701,duplicate token
previous-token probe (receivers layer >= 6),abc,S1+1,0,11,0.000223,
previous-token probe (receivers layer >= 6),abc,S1+1,1,0,0.057017,
